NUMERO,WKT
20,"POLYGON  (( 287788.64730000 5047140.05370000, 287779.89880000 5047152.71540000, 287773.12790000 5047148.03690000, 287762.73110000 5047163.08460000, 287769.50180000 5047167.76290000, 287759.10470000 5047182.81040000, 287752.33380000 5047178.13200000, 287745.40430000 5047188.16070000, 287753.35040000 5047193.65140000, 287723.83810000 5047236.36350000, 287713.15570000 5047234.29060000, 287696.35450000 5047222.68180000, 287685.15740000 5047238.88710000, 287684.17790000 5047241.25700000, 287684.26070000 5047243.82790000, 287685.20640000 5047245.88340000, 287686.61560000 5047247.62300000, 287635.02320000 5047231.36880000, 287698.52560000 5047139.52600000, 287593.62290000 5047106.47660000, 287606.80350000 5047086.80800000, 287589.72680000 5047077.18850000, 287617.49860000 5047036.86720000, 287619.14570000 5047038.00160000, 287621.30680000 5047034.86390000, 287635.20660000 5047044.42520000, 287639.86310000 5047037.47710000, 287788.64730000 5047140.05370000))"
15,"POLYGON  (( 288393.38220000 5046826.71430000, 288433.47010000 5046855.26190000, 288471.44630000 5046873.04800000, 288491.52890000 5046887.35160000, 288492.59920000 5046888.19490000, 288500.02320000 5046893.39820000, 288517.64920000 5046905.95040000, 288531.64040000 5046915.91310000, 288547.40210000 5046927.13730000, 288567.70160000 5046941.59280000, 288583.21910000 5046952.64300000, 288603.70550000 5046967.23160000, 288619.22300000 5046978.28200000, 288639.70610000 5046992.86840000, 288649.75350000 5047000.02320000, 288655.17070000 5047003.88300000, 288677.35350000 5047019.67830000, 288704.89840000 5047039.29280000, 288754.64610000 5047074.71880000, 288774.26020000 5047088.68630000, 288791.92730000 5047101.26740000, 288810.50920000 5047114.49980000, 288829.15510000 5047127.77770000, 288846.78930000 5047140.50350000, 288829.29060000 5047165.15740000, 288821.01840000 5047159.70350000, 288803.48030000 5047184.33160000, 288795.65660000 5047198.08650000, 288796.05630000 5047199.00970000, 288796.30050000 5047199.98560000, 288796.38260000 5047200.98830000, 288796.29120000 5047202.04590000, 288796.01950000 5047203.07220000, 288795.57570000 5047204.03650000, 288794.97300000 5047204.91040000, 288779.95980000 5047223.54650000, 288771.24570000 5047217.50490000, 288765.78360000 5047213.61520000, 288760.32130000 5047209.72540000, 288755.00410000 5047205.93910000, 288752.19000000 5047203.93520000, 288744.05900000 5047198.14470000, 288738.59670000 5047194.25510000, 288734.68630000 5047191.47030000, 288733.13460000 5047190.36520000, 288725.11890000 5047184.65720000, 288717.36890000 5047179.13850000, 288716.87230000 5047178.78480000, 288711.41000000 5047174.89490000, 288709.23770000 5047173.34800000, 288705.94790000 5047171.00530000, 288703.77560000 5047169.45820000, 288697.81680000 5047165.21500000, 288695.64430000 5047163.66800000, 288689.68550000 5047159.42460000, 288687.51310000 5047157.87770000, 288684.22340000 5047155.53500000, 288682.05100000 5047153.98810000, 288678.76110000 5047151.64510000, 288676.58870000 5047150.09820000, 288668.16460000 5047144.09920000, 288652.76020000 5047162.87010000, 288652.32070000 5047163.45140000, 288636.42890000 5047183.22700000, 288637.25700000 5047182.64790000, 288638.16900000 5047182.21260000, 288639.14000000 5047181.93300000, 288640.14380000 5047181.81660000, 288641.15300000 5047181.86650000, 288642.14040000 5047182.08150000, 288643.07910000 5047182.45570000, 288643.94360000 5047182.97890000, 288664.09120000 5047197.32640000, 288652.39000000 5047211.85140000, 288650.97810000 5047213.60410000, 288639.76990000 5047227.51720000, 288638.47540000 5047229.12400000, 288627.14960000 5047243.18280000, 288625.85510000 5047244.78980000, 288614.61640000 5047258.74080000, 288611.41700000 5047262.71230000, 288606.86910000 5047259.04860000, 288603.11130000 5047263.71350000, 288596.38770000 5047272.30550000, 288600.96190000 5047275.89240000, 288590.48980000 5047289.26040000, 288590.18770000 5047289.64610000, 288583.10860000 5047298.68280000, 288580.47730000 5047302.04180000, 288575.59000000 5047308.28050000, 288570.51540000 5047314.75840000, 288565.53200000 5047321.11990000, 288560.55350000 5047327.47520000, 288553.03180000 5047337.07680000, 288549.27440000 5047341.87320000, 288543.63360000 5047349.07380000, 288537.99530000 5047356.27130000, 288534.23550000 5047361.07090000, 288531.11330000 5047365.05660000, 288524.83710000 5047373.06820000, 288524.23110000 5047373.84200000, 288519.07580000 5047380.42300000, 288515.43910000 5047385.06520000, 288513.92010000 5047387.00410000, 288508.65290000 5047393.51040000, 288503.59690000 5047400.18200000, 288500.40200000 5047404.26070000, 288500.02320000 5047404.74410000, 288498.43540000 5047406.77110000, 288493.27360000 5047413.36000000, 288488.11210000 5047419.94900000, 288483.22130000 5047426.19240000, 288481.80680000 5047428.03010000, 288481.32500000 5047428.65610000, 288479.46460000 5047431.07300000, 288472.25800000 5047440.29670000, 288471.74080000 5047440.95860000, 288466.22890000 5047447.61040000, 288465.24690000 5047448.71760000, 288459.63320000 5047454.65230000, 288455.65270000 5047458.49410000, 288453.14320000 5047460.82870000, 288446.13030000 5047467.35290000, 288429.30760000 5047449.31460000, 288412.16410000 5047430.60000000, 288413.03230000 5047431.00860000, 288413.95350000 5047431.27690000, 288414.90530000 5047431.39840000, 288415.86440000 5047431.37010000, 288416.80740000 5047431.19270000, 288417.71120000 5047430.87060000, 288418.55380000 5047430.41150000, 288419.31460000 5047429.82680000, 288424.64240000 5047424.88440000, 288430.47910000 5047419.01510000, 288435.83460000 5047412.70370000, 288465.18930000 5047375.20270000, 288497.85250000 5047333.47460000, 288499.05640000 5047331.64060000, 288499.14800000 5047329.77030000, 288499.08020000 5047328.86270000, 288498.87840000 5047327.97530000, 288498.54710000 5047327.12760000, 288498.09360000 5047326.33850000, 288497.52800000 5047325.62560000, 288496.86270000 5047325.00450000, 288490.69120000 5047320.19730000, 288481.07110000 5047312.70760000, 288471.45060000 5047305.21800000, 288453.66290000 5047328.06620000, 288444.04260000 5047320.57660000, 288434.42230000 5047313.08690000, 288430.98360000 5047310.40980000, 288428.57870000 5047309.80760000, 288422.06970000 5047308.17770000, 288413.20330000 5047305.95760000, 288404.33710000 5047303.73730000, 288392.51040000 5047300.77600000, 288380.68360000 5047297.81450000, 288368.85660000 5047294.85290000, 288355.10820000 5047291.41020000, 288340.39630000 5047350.03130000, 288340.20530000 5047351.09790000, 288338.93380000 5047355.82870000, 288319.42270000 5047350.92990000, 288317.73730000 5047357.64120000, 288283.03160000 5047348.95680000, 288280.55530000 5047348.33710000, 288229.07710000 5047335.45550000, 288217.09160000 5047332.45630000, 288219.36460000 5047325.93070000, 288279.54470000 5047153.16170000, 288284.54790000 5047138.79820000, 288332.88690000 5047000.02320000, 288366.37660000 5046903.87890000, 288371.28440000 5046889.78930000, 288372.71930000 5046885.66950000, 288393.38220000 5046826.71430000))"
25,"POLYGON  (( 285885.29340000 5045555.87540000, 285874.46880000 5045572.94140000, 285808.47850000 5045521.67290000, 285807.60440000 5045521.10620000, 285806.64680000 5045520.69620000, 285805.63350000 5045520.45490000, 285804.59380000 5045520.38920000, 285803.55820000 5045520.50100000, 285802.55650000 5045520.78710000, 285801.61810000 5045521.23920000, 285800.77000000 5045521.84420000, 285800.03710000 5045522.58440000, 285803.25940000 5045518.02660000, 285815.98930000 5045500.02320000, 285818.25430000 5045496.81990000, 285817.85710000 5045497.56620000, 285817.56100000 5045498.35800000, 285817.37080000 5045499.18170000, 285817.29000000 5045500.02320000, 285817.32720000 5045500.98660000, 285817.50690000 5045501.93390000, 285817.82510000 5045502.84410000, 285818.27480000 5045503.69700000, 285818.84590000 5045504.47370000, 285819.52600000 5045505.15720000, 285885.29340000 5045555.87540000))"
00,"POLYGON  (( 288495.92730000 5045311.44320000, 288500.02320000 5045314.24100000, 288521.09430000 5045328.63400000, 288517.46230000 5045333.95430000, 288507.14630000 5045349.05470000, 288500.02320000 5045359.48140000, 288496.83030000 5045364.15530000, 288486.51410000 5045379.25610000, 288478.78910000 5045390.56370000, 288473.75370000 5045387.12400000, 288485.88090000 5045369.36990000, 288465.74860000 5045355.61820000, 288472.53320000 5045345.68690000, 288495.92730000 5045311.44320000))"
17,"POLYGON  (( 287866.15700000 5046388.52930000, 287797.54410000 5046336.34200000, 287759.75980000 5046307.58070000, 287733.93520000 5046287.77460000, 287708.13630000 5046267.57380000, 287696.61150000 5046259.74340000, 287697.23050000 5046258.83400000, 287636.53960000 5046208.84280000, 287666.53730000 5046165.76040000, 287701.66760000 5046113.63730000, 287739.92110000 5046057.45350000, 287676.71350000 5046014.27790000, 287717.80250000 5045954.12480000, 287781.05610000 5045997.03240000, 287852.99650000 5046099.35060000, 287893.25510000 5046141.20720000, 287934.55410000 5046184.14570000, 287977.77790000 5046121.37230000, 288006.94670000 5046078.16950000, 288056.51270000 5046111.92640000, 288015.49200000 5046171.89570000, 287977.66460000 5046227.19690000, 287961.01460000 5046247.70700000, 287959.93380000 5046249.31150000, 287927.80940000 5046297.00250000, 287905.67340000 5046329.86460000, 287886.08980000 5046358.93810000, 287866.15700000 5046388.52930000))"
19,"POLYGON  (( 288018.27440000 5046781.39670000, 287946.21970000 5046726.50590000, 288052.63670000 5046568.66050000, 288103.42560000 5046607.27970000, 288069.81150000 5046657.14320000, 288070.03570000 5046657.29430000, 288065.80040000 5046663.63830000, 288099.64120000 5046686.50640000, 288078.87640000 5046717.30660000, 288075.99510000 5046715.36430000, 288055.41460000 5046746.28850000, 288046.15330000 5046740.04470000, 288018.27440000 5046781.39670000))"
22,"POLYGON  (( 288548.67930000 5051735.01000000, 288563.37320000 5051715.32130000, 288563.56720000 5051715.06720000, 288563.58110000 5051715.04920000, 288594.25700000 5051673.94240000, 288594.36210000 5051673.79920000, 288608.83400000 5051654.40840000, 288618.55920000 5051661.66540000, 288626.86150000 5051667.86050000, 288627.11000000 5051668.04590000, 288635.16390000 5051674.05570000, 288649.09360000 5051684.44980000, 288651.03930000 5051685.90180000, 288668.62170000 5051699.02190000, 288674.74080000 5051703.58790000, 288666.19260000 5051715.04380000, 288662.89360000 5051719.46500000, 288654.89200000 5051730.18810000, 288644.66680000 5051743.89100000, 288643.59120000 5051745.33220000, 288632.29080000 5051760.47660000, 288626.44000000 5051768.31740000, 288620.99020000 5051775.62070000, 288614.59280000 5051784.19430000, 288588.94530000 5051765.05630000, 288566.96170000 5051748.65210000, 288548.67930000 5051735.01000000))"
01,"POLYGON  (( 287771.02890000 5047087.19690000, 287766.46880000 5047083.85040000, 287715.02830000 5047048.46250000, 287737.49690000 5047015.82230000, 287714.66820000 5047000.02320000, 287681.10800000 5046976.79730000, 287689.84040000 5046964.30740000, 287706.33440000 5046940.50800000, 287722.82810000 5046916.70860000, 287731.50900000 5046904.18260000, 287748.87070000 5046879.13090000, 287770.54180000 5046847.86090000, 287782.01190000 5046831.31040000, 287799.60370000 5046806.42030000, 287816.53460000 5046781.06370000, 287859.58650000 5046718.17870000, 287860.00200000 5046717.57190000, 287868.20640000 5046705.58790000, 287875.49450000 5046694.84980000, 287882.78220000 5046684.11230000, 287890.06970000 5046673.37500000, 287897.35740000 5046662.63750000, 287904.61230000 5046651.94790000, 287911.90040000 5046641.13770000, 287919.15630000 5046630.37560000, 287926.41170000 5046619.61350000, 287933.66740000 5046608.85140000, 287940.92320000 5046598.08930000, 287948.17870000 5046587.32730000, 287955.43440000 5046576.56520000, 287962.69000000 5046565.80310000, 287969.94570000 5046555.04100000, 287991.93180000 5046522.42970000, 288000.10000000 5046528.64260000, 288016.30490000 5046540.96820000, 288028.45450000 5046550.20920000, 288052.71350000 5046568.66050000, 288035.21910000 5046594.60940000, 288030.60900000 5046601.44750000, 288023.36760000 5046612.18850000, 288018.35100000 5046619.62950000, 288016.12620000 5046622.92930000, 288008.88480000 5046633.67030000, 288001.64360000 5046644.41130000, 288001.31250000 5046644.90230000, 288000.10000000 5046646.70100000, 287994.40200000 5046655.15230000, 287987.16070000 5046665.89340000, 287979.91930000 5046676.63420000, 287978.82150000 5046678.26230000, 287972.67790000 5046687.37520000, 287965.43650000 5046698.11620000, 287958.19510000 5046708.85720000, 287952.98260000 5046716.58890000, 287950.95350000 5046719.59800000, 287946.29650000 5046726.50590000, 287957.25530000 5046734.85410000, 287966.95370000 5046742.24240000, 287976.65210000 5046749.63050000, 287986.35040000 5046757.01860000, 287996.08400000 5046764.43360000, 288000.10000000 5046767.49300000, 288005.74750000 5046771.79510000, 288015.50640000 5046779.22950000, 288018.35120000 5046781.39670000, 288025.14430000 5046786.57150000, 288034.84260000 5046793.95960000, 288044.54100000 5046801.34790000, 288057.22300000 5046811.00900000, 288039.92870000 5046836.15140000, 288031.28200000 5046848.72210000, 288016.56460000 5046870.11820000, 288008.68790000 5046881.56930000, 288000.81110000 5046893.02070000, 288000.10000000 5046894.05450000, 287992.93420000 5046904.47210000, 287985.05740000 5046915.92320000, 287977.18070000 5046927.37460000, 287969.30390000 5046938.82600000, 287961.42700000 5046950.27730000, 287958.03090000 5046955.21450000, 287957.66890000 5046955.71880000, 287956.76820000 5046956.80820000, 287938.95230000 5046982.73570000, 287938.02170000 5046984.30290000, 287932.40080000 5046992.47560000, 287927.77090000 5046999.20630000, 287927.20900000 5047000.02320000, 287920.42970000 5047009.87910000, 287913.08830000 5047020.55200000, 287905.74690000 5047031.22480000, 287898.40550000 5047041.89770000, 287891.06410000 5047052.57050000, 287883.72290000 5047063.24360000, 287876.38140000 5047073.91640000, 287869.04000000 5047084.58930000, 287861.69880000 5047095.26210000, 287854.35740000 5047105.93500000, 287845.84410000 5047116.52400000, 287843.38060000 5047119.01450000, 287840.52250000 5047121.03980000, 287837.35630000 5047122.53860000, 287833.97810000 5047123.46540000, 287830.84730000 5047123.78660000, 287827.70480000 5047123.61560000, 287824.62740000 5047122.95660000, 287821.69040000 5047121.82560000, 287818.96580000 5047120.25040000, 287807.42640000 5047112.31310000, 287783.66020000 5047095.77170000, 287771.02890000 5047087.19690000))"
12,"POLYGON  (( 290157.27320000 5047197.90000000, 289979.37320000 5047059.10000000, 290044.24570000 5046977.89630000, 290021.40210000 5046958.90200000, 290013.05450000 5046945.87070000, 290040.15470000 5046912.08630000, 290040.60410000 5046910.11560000, 290031.38460000 5046903.11500000, 290013.50470000 5046891.60330000, 290030.10230000 5046818.72580000, 290043.97770000 5046757.80180000, 290059.83610000 5046688.17030000, 290073.60020000 5046627.73460000, 290102.21820000 5046639.92870000, 290116.57320000 5046647.00000000, 290151.17320000 5046661.90000000, 290191.47320000 5046672.70000000, 290181.07320000 5046686.00000000, 290233.07320000 5046724.80000000, 290253.37320000 5046698.70000000, 290276.87320000 5046717.00000000, 290302.87320000 5046684.80000000, 290307.07320000 5046676.70000000, 290312.27320000 5046660.30000000, 290313.57320000 5046636.50000000, 290329.17320000 5046634.80000000, 290328.67320000 5046651.70000000, 290389.47320000 5046698.60000000, 290406.37320000 5046676.90000000, 290464.07320000 5046721.90000000, 290449.47320000 5046741.20000000, 290468.97320000 5046756.00000000, 290439.57320000 5046793.10000000, 290515.17320000 5046841.10000000, 290485.37320000 5046879.20000000, 290495.37320000 5046886.90000000, 290374.27320000 5047042.20000000, 290388.97320000 5047054.10000000, 290369.17320000 5047079.40000000, 290294.97320000 5047020.70000000, 290157.27320000 5047197.90000000))"
00,"POLYGON  (( 285724.01450000 5045426.13670000, 285731.22960000 5045434.21100000, 285738.07530000 5045442.60080000, 285744.53770000 5045451.28930000, 285777.61110000 5045496.78360000, 285775.11820000 5045500.02320000, 285773.06390000 5045502.69300000, 285739.88610000 5045545.30780000, 285662.22010000 5045507.72440000, 285667.59490000 5045500.02320000, 285721.21640000 5045423.19360000, 285724.01450000 5045426.13670000))"
