Regne,Categorie,Code_espece,Nom_francais,Nom_latin,Nom_anglais
Faune,Insectes,COCCA,Coccinelle asiatique,"Harmonia axyridis",Asian ladybeetle
Faune,Insectes,LONGI,Longicorne Ã©toilÃ©,"Anoplophora glabripennis",Asian long-horned beetle
Faune,Insectes,SCARJ,ScarabÃ©e japonais,"Popillia japonica",Japanese beetle
Faune,Mollusques et crustacÃ©s,CLADE,CladocÃ¨re Ã©pineux,"Bythotrephes longimanus",Spiny water flea
Faune,Mollusques et crustacÃ©s,CCAM,Crabe chinois Ã  mitaines,"Eriocheir sinensis",Chinese mitten crab
Faune,Mollusques et crustacÃ©s,CRERS,Crevette rouge sang,"Hemimysis anomala",Bloody red shrimp
Faune,Mollusques et crustacÃ©s,ECREV,Ãcrevisse Ã  taches rouges,"Orconectes rusticus",Rusty crayfish
Faune,Mollusques et crustacÃ©s,MOULQ,Moule quagga,"Dreissena bugensis",Quagga mussel
Faune,Mollusques et crustacÃ©s,MOULE,Moule zÃ©brÃ©e,"Dreissena polymorpha",Zebra mussels
Faune,Mollusques et crustacÃ©s,NASNZ,Nasse de la Nouvelle-ZÃ©lande,"Potamopyrgus antipodarum",New Zealand mud snail
Faune,Mollusques et crustacÃ©s,PCORA,Petite corbeille dâAsie,"Corbicula fluminea",Asiatic clam
Faune,Mollusques et crustacÃ©s,PCRED,Petite crevette dâeau douce,"Echinogammarus ischnus",Freshwater shrimp
Faune,Mollusques et crustacÃ©s,VIVIC,Vivipare chinoise,"Bellamya chinensis",Chinese mystery snail
Faune,Oiseaux et mammifÃ¨res,CERFR,Cerf rouge,"Cervus elaphus",Red deer
Faune,Oiseaux et mammifÃ¨res,CYGNE,Cygne tuberculÃ©,"Cygnus olor",Mute swan
Faune,Reptiles et poissons,CARPE,Carpe de roseau,"Ctenopharyngodon idella",Grass carp
Faune,Reptiles et poissons,CRAPV,Crapet vert,"Lepomis cyanellus",Green sunfish
Faune,Reptiles et poissons,FGARD,Faux gardon,"Pseudorasbora parva",Stone moroko
Faune,Reptiles et poissons,GARDR,Gardon rouge,"Scardinius erythrophthalmus",Common rudd
Faune,Reptiles et poissons,GOBIE,Gobie Ã  taches noires,"Neogobius melanostomus",Round goby
Faune,Reptiles et poissons,CARA,Poisson rouge,"Carassius auratus",Goldfish
Faune,Reptiles et poissons,TANCH,Tanche,"Tinca tinca",Tench
Faune,Reptiles et poissons,TETES,TÃªte-de-serpent,"Channa sp., Parachanna sp.",Snakehead
Faune,Reptiles et poissons,TORTU,Tortue Ã  oreilles rouges,"Trachemys scripta elegans",Red-eared slider
Flore,Plantes aquatiques flottantes,CHATA,ChÃ¢taigne d'eau,"Trapa natans",Water chestnut
Flore,Plantes aquatiques flottantes,FAUXN,Faux-nymphÃ©a peltÃ©,"Nymphoides peltata",Yellow floatingheart
Flore,Plantes aquatiques flottantes,HYDRO,Hydrocharide grenouillette,"Hydrocharis morsus-ranae",European frog-bit
Flore,Plantes aquatiques flottantes,JACYN,Jacinthe d'eau,"Eichhornia crassipes",Water hyacinth
Flore,Plantes aquatiques flottantes,LAITU,Laitue d'eau,"Pistia stratiotes",Water lettuce
Flore,Plantes aquatiques flottantes,SALVI,Salvinia,"Salvinia spp.",Water moss
Flore,Plantes aquatiques submergÃ©es,CABOM,Cabomba de Caroline,"Cabomba caroliniana",Fanwort
Flore,Plantes aquatiques submergÃ©es,ELODE,ÃlodÃ©e dense,"Egeria densa",Brazilian waterweed
Flore,Plantes aquatiques submergÃ©es,HYDRI,Hydrille verticillÃ©,"Hydrilla verticillata",Hydrilla
Flore,Plantes aquatiques submergÃ©es,MYREP,Myriophylle Ã  Ã©pis,"Myriophyllum spicatum",Eurasian water-milfoil
Flore,Plantes aquatiques submergÃ©es,MYRAQ,Myriophylle aquatique,"Myriophyllum aquaticum",Parrot feather
Flore,Plantes aquatiques submergÃ©es,NITET,Nitelle Ã©toilÃ©e,"Nitellopsis obtusa",Starry stonewort
Flore,Plantes aquatiques submergÃ©es,PETNA,Petite naÃ¯ade,"Najas minor",Brittle-leaved naid
Flore,Plantes aquatiques submergÃ©es,POTAM,Potamot crÃ©pu,"Potamogeton crispus",Curly-leaved pondweed
Flore,Plantes de milieux terrestres,ALLIA,Alliaire officinale,"Alliaria petiolata",Garlic mustard
Flore,Plantes de milieux terrestres,ANTHR,Anthrisque des bois,"Anthriscus sylvestris",Wild chervil
Flore,Plantes de milieux terrestres,BECO,Berce commune,"Heracleum sphondylium",Meadow cow-parsnip
Flore,Plantes de milieux terrestres,BERCE,Berce du Caucase,"Heracleum mantegazzianum",Giant hogweed
Flore,Plantes de milieux terrestres,CONSO,Consoude officinale,"Symphytum officinale",Common comfrey
Flore,Plantes de milieux terrestres,DOMPR,Dompte-venin de Russie,"Vincetoxicum rossicum",European swallowwort
Flore,Plantes de milieux terrestres,DOMPN,Dompte-venin noir,"Vincetoxicum nigrum",Black swallowwort
Flore,Plantes de milieux terrestres,EGOPO,Ãgopode podagraire,"Aegopodium podagraria",Goutweed
Flore,Plantes de milieux terrestres,EPVIJ,Ãpine-vinette du Japon,"Berberis thunbergii",Japanese barberry
Flore,Plantes de milieux terrestres,ACENU,Ãrable Ã  GiguÃ¨re,"Acer negundo",Manitoba Maple
Flore,Plantes de milieux terrestres,ERANO,Ãrable de NorvÃ¨ge,"Acer platanoides",Norway maple
Flore,Plantes de milieux terrestres,GAILL,Gaillet mollugine,"Galium mollugo",Smooth bedstraw
Flore,Plantes de milieux terrestres,IMPAT,Impatiente glanduleuse,"Impatiens glandulifera",Himalayan balsam
Flore,Plantes de milieux terrestres,LYSIM,Lysimaque nummulaire,"Lysimachia nummularia",Creeping yellow loosestrife
Flore,Plantes de milieux terrestres,MISCA,Miscanthus commun,"Miscanthus sacchariflorus",Amur silvergrass
Flore,Plantes de milieux terrestres,NERPB,Nerprun bourdaine,"Frangula alnus",Glossy buckthorn
Flore,Plantes de milieux terrestres,NERPC,Nerprun cathartique,"Rhamnus cathartica",European buckthorn
Flore,Plantes de milieux terrestres,ULMU,Orme de SibÃ©rie,"Ulmus pumila",Siberian elm
Flore,Plantes de milieux terrestres,PANAI,Panais sauvage,"Pastinaca sativa",Wild parsnip
Flore,Plantes de milieux terrestres,PETAJ,PÃ©tasite du Japon,"Petasites japonicus",Japanese sweet coltsfoot
Flore,Plantes de milieux terrestres,RENFI,Renoncule ficaire,"Ficaria verna,Lesser celandine", fig buttercup
