CODE,NOM,DESI_ABR,POP
04030,La Martre,M,218
07070,Saint-Tharcisius,P,407
07105,Saint-Damase,P,366
08005,Les Méchins,M,973
09005,La Rédemption,P,428
09010,Saint-Charles-Garnier,P,238
09040,Padoue,M,239
10010,La Trinité-des-Monts,P,245
10015,Saint-Narcisse-de-Rimouski,P,1086
11020,Saint-Guy,M,52
11025,Saint-Médard,M,200
18070,Saint-Antoine-de-l'Isle-aux-Grues,P,146
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
23015,Notre-Dame-des-Anges,P,313
29045,Saint-Martin,P,2589
35045,Saint-Roch-de-Mékinac,P,305
37225,Saint-Luc-de-Vincennes,M,540
39020,Saint-Rémi-de-Tingwick,M,476
40047,Danville,V,3848
42070,Kingsbury,VL,144
51020,Yamachiche,M,2938
51025,Saint-Barnabé,P,1194
51055,Sainte-Angèle-de-Prémont,M,627
51075,Saint-Élie-de-Caxton,M,1939
61050,Sainte-Mélanie,M,3255
69025,Howick,M,836
69055,Huntingdon,V,2596
71090,Vaudreuil-sur-le-Lac,VL,1382
82030,Pontiac,M,6146
83055,Sainte-Thérèse-de-la-Gatineau,M,597
83088,Montcerf-Lytton,M,645
84020,Portage-du-Fort,VL,213
84025,Bryson,M,692
84050,Alleyn-et-Cawood,M,179
90017,La Bostonnais,M,633
91015,Saint-François-de-Sales,M,630
95025,Les Escoumins,M,1819
96025,Pointe-Lebel,VL,1868
97035,Fermont,V,2389
98014,Gros-Mécatina,M,406
AR380,Bécancour,MRC,21316
AR790,Antoine-Labelle,MRC,36688
NR020,Le Rocher-Percé,TR,0
NR060,Avignon,TR,0
NR790,Antoine-Labelle,TR,5
NR982,Le Golfe-du-Saint-Laurent,TR,0
R2102,Régie intermunicipale du transport adapté de la Vallée du Richelieu,RgI,
R5004,Régie d'exploitation du complexe sportif Sainte-Catherine et Delson,RgI,
R5227,Régie des équipements en loisir de l'Île-Perrot,RgI,
R7011,Régie intermunicipale du parc industriel territorial technologique de la MRC de Rivière-du-Loup,RgI,
